Iterations,Gridsearch_OptimalFX,Baysianopt_OptimalFX,AI_Search_OptimalFX,My_BO_OptimalFX,Randomsearch_OptimalFX,Sim_An_OptimalFX
0,0.8611,0.8583999999999999,0.8586333333333349,0.8595333333333344,0.8630666666666669,0.861066666669
1,0.88747,0.8679,0.8820999999999998,0.8826333333333332,0.8818999999999988,0.8808199999999982
2,0.89093,0.8770333333333333,0.8928333333333325,0.8958666666666649,0.8906666666666666,0.8917899999999943
3,0.8999,0.8933666666666666,0.8985666666666653,0.8996333333333325,0.8982999999999987,0.8982599999999923
4,0.90123,0.8966999999999999,0.904566666666666,0.9038666666666662,0.901366666666666,0.9021399999999921
5,0.90503,0.8987,0.905866666666667,0.9086666666666665,0.9053333333333317,0.9051499999999901
6,0.9085,0.9029,0.9081666666666662,0.9090333333333321,0.905,0.9072099999999924
7,0.90967,0.9029,0.9082000000000003,0.9118999999999999,0.9076999999999985,0.9086799999999925
8,0.91017,0.9075,0.9124666666666665,0.9124333333333329,0.9099999999999987,0.9095799999999933
9,0.91137,0.9089,0.9122666666666658,0.9125999999999995,0.9109666666666659,0.9123499999999937
10,0.91693,0.9092666666666666,0.9139666666666659,0.9121666666666666,0.9132333333333327,0.9136599999999938
11,0.9134999999999988,0.9105333333333334,0.9139666666666665,0.9179666666666653,0.914399999999999,0.9133799999999942
12,0.9175999999999987,0.9104666666666666,0.9146666666666653,0.9154333333333323,0.9153999999999985,0.9142999999999953
13,0.9191333333333318,0.9102333333333334,0.9155333333333323,0.9157999999999998,0.9178666666666648,0.9169999999999955
14,0.9174999999999992,0.9122333333333333,0.9177333333333322,0.9171,0.9186666666666654,0.9161399999999958
15,0.9184999999999981,0.9124333333333334,0.9174333333333324,0.9179666666666652,0.9188999999999982,0.9180599999999975
16,0.9225333333333312,0.9102666666666668,0.9179999999999984,0.9168999999999985,0.9190999999999981,0.9180599999999964
17,0.9238666666666641,0.9117666666666667,0.9185999999999979,0.9179333333333314,0.9201666666666645,0.9203899999999989
18,0.9260999999999978,0.9107000000000002,0.9190999999999984,0.9184666666666652,0.9223999999999977,0.9199099999999993
19,0.9258666666666638,0.9135000000000002,0.918699999999998,0.9179333333333314,0.9209333333333315,0.9218999999999992
20,0.9241666666666649,0.9133333333333333,0.9182999999999987,0.9193333333333317,0.9229666666666644,0.9215499999999998
21,0.9251999999999981,0.9114000000000001,0.9198999999999982,0.9199333333333317,0.9232333333333314,0.9236800000000005
22,0.9270333333333315,0.9127,0.9188666666666653,0.9175333333333312,0.9245666666666652,0.9228599999999992
23,0.9255666666666641,0.9116666666666666,0.9182666666666647,0.9196666666666651,0.9246333333333312,0.9245400000000007
24,0.9271333333333308,0.9125,0.9207999999999982,0.9201999999999984,0.9249333333333312,0.925860000000003
25,0.9298666666666634,0.9131333333333334,0.9202666666666649,0.9181666666666654,0.925666666666664,0.926290000000003
26,0.9304333333333307,0.9136333333333334,0.9198666666666643,0.9210666666666647,0.925166666666664,0.9258000000000031
27,0.9325333333333301,0.9135000000000001,0.9189333333333316,0.9200999999999978,0.9283333333333305,0.9277500000000032
28,0.9304999999999974,0.9134,0.9202666666666649,0.9202666666666647,0.9278666666666644,0.9296400000000046
29,0.9334666666666639,0.9126666666666667,0.9181333333333315,0.9187999999999978,0.9282666666666635,0.9309300000000046
30,0.9357333333333293,0.9159999999999998,0.9177333333333316,0.9191999999999979,0.9285666666666638,0.9317200000000058
